Sort,Season,Agency,Date,Time,Station ID,Field rep,Depth (m),Time (seconds),Descent rate (m/s),Temperature (øC),Conductivity (S/m),Salinity (psu),Density (kg/m?),pH (pH units),Dissolved Oxygen (mg/L),Oxygen Saturation (mg/L),Oxygen Saturation (%),Light Transmission (%),Beam C (1/m),Chlorophyll-a (æg/L) WET,Chlorophyll-a Voltage (V) WET,Chlorophyll-a (æg/L) ECO,Chlorophyll-a Voltage (V) ECO,CDOM (ug/L) WET,CDOM Voltage (V) WET,CDOM (ug/L) ECO,CDOM Voltage (V) ECO,CDOM (ug/L) Turner,CDOM Voltage (V) Turner,Surface Irradiance (æE/cmýúsec),Irradiance (æE/cmýúsec),Normalized Irradiance (%),delta-T (øC/m),Stability (kg/m?/m),Qual_NH3,Ammonia-N (mg/L),Qual_TC,Total coliforms (MPN/100mL),Qual_FC,Fecal coliforms (MPN/100mL),Qual_EC,E. coli (MPN/100mL),Qual_ENT,Enterococci (MPN/100mL),Disacrete Chl-a (ug/L)
11180,Winter,OCSD,02/08/2016,08:02,1905,1,89.0,128.8,0.78,11.95,3.852,33.569,25.489,7.85,4.53,8.73,51.91,88.80,0.475,0.08,0.0563,-0.14,0.0073,2.74,0.2768,0.72,0.0220,,,1715.5,0.0,0.0,0.08,0.018,,,,,,,,,,,
11181,Winter,OCSD,02/08/2016,08:02,1905,1,90.0,130.1,0.77,11.87,3.846,33.573,25.507,7.84,4.52,8.75,51.70,88.77,0.476,0.08,0.0556,-0.12,0.0083,2.73,0.2743,0.69,0.0209,,,1724.3,0.0,0.0,0.06,0.016,,,,,,,,,,,
11182,Winter,OCSD,02/08/2016,08:02,1905,1,91.0,131.6,0.63,11.81,3.841,33.579,25.523,7.84,4.50,8.76,51.42,88.68,0.480,0.07,0.0554,-0.13,0.0080,2.69,0.2732,0.65,0.0197,,,1732.3,0.0,0.0,0.05,0.016,,,,,,,,,,,
11183,Winter,OCSD,02/08/2016,08:02,1905,1,92.0,133.3,0.59,11.76,3.836,33.586,25.539,7.84,4.45,8.77,50.77,88.58,0.485,0.07,0.0555,-0.15,0.0069,2.70,0.2732,0.71,0.0217,,,1728.5,0.0,0.0,0.04,0.010,,,,,,,,,,,
11184,Winter,OCSD,02/08/2016,08:02,1905,1,93.0,134.9,0.69,11.72,3.834,33.591,25.549,7.83,4.41,8.78,50.30,88.47,0.490,0.08,0.0560,-0.15,0.0070,2.72,0.2750,0.69,0.0209,,,1719.9,0.0,0.0,0.06,0.018,,,,,,,,,,,
11185,Winter,OCSD,02/08/2016,08:02,1905,1,94.0,136.3,0.75,11.66,3.828,33.599,25.567,7.83,4.35,8.79,49.55,88.33,0.496,0.07,0.0552,-0.14,0.0073,2.73,0.2744,0.67,0.0199,,,1732.3,0.0,0.0,0.01,0.005,,,,,,,,,,,
11186,Winter,OCSD,02/08/2016,08:02,1905,1,95.0,137.6,0.77,11.65,3.828,33.603,25.572,7.83,4.27,8.79,48.53,88.08,0.508,0.07,0.0555,-0.15,0.0070,2.78,0.2772,0.76,0.0217,,,1730.0,0.0,0.0,0.07,0.023,,,,,,,,,,,
11187,Winter,OCSD,02/08/2016,08:02,1905,1,96.0,138.8,0.89,11.58,3.823,33.617,25.595,7.82,4.23,8.80,48.09,87.93,0.515,0.07,0.0550,-0.17,0.0061,2.84,0.2803,0.83,0.0229,,,1714.6,0.0,0.0,0.00,0.008,,,,,,,,,,,
11188,Winter,OCSD,02/08/2016,08:02,1905,1,97.0,140.0,0.82,11.58,3.824,33.625,25.603,7.82,4.22,8.80,47.94,87.97,0.512,0.06,0.0547,-0.17,0.0061,2.87,0.2814,0.83,0.0221,,,1724.7,0.0,0.0,0.01,0.004,,,,,,,,,,,
11189,Winter,OCSD,02/08/2016,08:02,1905,1,98.0,141.4,0.60,11.57,3.823,33.628,25.607,7.81,4.17,8.80,47.37,87.41,0.538,0.06,0.0545,-0.17,0.0061,2.91,0.2837,0.85,0.0222,,,1724.6,0.0,0.0,0.01,0.006,,,,,,,,,,,
11190,Winter,OCSD,02/08/2016,08:02,1905,1,99.0,143.1,0.68,11.56,3.823,33.634,25.613,7.81,4.15,8.80,47.17,86.52,0.579,0.06,0.0549,-0.16,0.0065,2.92,0.2842,0.89,0.0234,,,1727.6,0.0,0.0,0.04,0.015,,,,,,,,,,,
11191,Winter,OCSD,02/08/2016,08:02,1905,1,100.0,144.3,0.92,11.52,3.820,33.644,25.628,7.81,4.16,8.81,47.16,86.10,0.599,0.06,0.0547,-0.16,0.0069,2.90,0.2841,0.83,0.0225,,,1723.5,0.0,0.0,0.02,0.003,,,,,,,,,,,
11192,Winter,OCSD,02/08/2016,08:02,1905,1,101.0,145.1,0.47,11.50,3.819,33.644,25.631,7.80,4.16,8.81,47.22,85.85,0.610,0.06,0.0549,-0.17,0.0061,2.85,0.2800,0.78,0.0209,,,1727.3,0.0,0.0,,,,,,,,,,,,,
11193,Winter,OCSD,02/08/2016,07:46,1906,1,1.0,11.3,0.75,15.28,4.160,33.555,24.796,8.10,7.75,8.15,95.01,81.38,0.824,2.32,0.2265,1.60,0.0764,1.14,0.1996,0.17,0.0159,,,1456.0,286.7,19.7,0.00,0.000,,,,,,,,,,,
11194,Winter,OCSD,02/08/2016,07:46,1906,1,2.0,12.5,0.79,15.28,4.160,33.555,24.796,8.10,7.76,8.15,95.07,81.46,0.820,2.34,0.2289,1.60,0.0773,1.08,0.1937,0.15,0.0152,,,1496.3,73.4,4.9,-0.01,0.000,,,,,,,,,,,
11195,Winter,OCSD,02/08/2016,07:46,1906,1,3.0,13.8,0.82,15.29,4.160,33.555,24.796,8.10,7.74,8.15,94.78,81.53,0.817,2.38,0.2313,1.61,0.0770,1.10,0.1971,0.17,0.0159,,,1486.7,82.6,5.6,0.01,0.000,,,,,,,,,,,
11196,Winter,OCSD,02/08/2016,07:46,1906,1,4.0,15.0,0.79,15.28,4.160,33.555,24.796,8.10,7.68,8.15,94.10,81.61,0.813,2.44,0.2361,1.66,0.0797,1.11,0.1969,0.17,0.0159,,,1451.6,125.6,8.7,0.00,0.000,,,,,,,,,,,
11197,Winter,OCSD,02/08/2016,07:46,1906,1,5.0,16.3,0.77,15.28,4.160,33.555,24.796,8.10,7.55,8.15,92.52,81.60,0.813,2.54,0.2443,1.68,0.0802,1.10,0.1954,0.14,0.0150,,,1499.7,117.6,7.8,0.04,0.010,,,,,,,,,,,
11198,Winter,OCSD,02/08/2016,07:46,1906,1,6.0,17.7,0.72,15.24,4.156,33.555,24.806,8.10,7.43,8.16,91.00,81.63,0.812,2.56,0.2469,1.72,0.0817,1.10,0.1965,0.16,0.0160,,,1489.5,113.0,7.6,0.03,0.007,,,,,,,,,,,
11199,Winter,OCSD,02/08/2016,07:46,1906,1,7.0,19.0,0.85,15.21,4.153,33.555,24.813,8.09,7.39,8.17,90.34,81.63,0.812,2.48,0.2393,1.77,0.0848,1.10,0.1962,0.14,0.0153,,,1454.7,94.4,6.5,0.02,0.004,,,,,,,,,,,
11200,Winter,OCSD,02/08/2016,07:46,1906,1,8.0,20.3,0.67,15.19,4.151,33.555,24.817,8.08,7.38,8.17,90.22,82.06,0.791,2.41,0.2331,1.68,0.0796,1.13,0.1975,0.14,0.0149,,,1499.9,75.0,5.0,0.01,0.002,,,,,,,,,,,
11201,Winter,OCSD,02/08/2016,07:46,1906,1,9.0,21.7,0.80,15.18,4.150,33.555,24.819,8.08,7.39,8.17,90.31,82.91,0.750,2.40,0.2336,1.69,0.0809,1.15,0.1989,0.18,0.0168,,,1479.9,72.4,4.9,0.00,0.000,,,,,,,,,,,
11202,Winter,OCSD,02/08/2016,07:46,1906,1,10.0,22.8,0.98,15.18,4.150,33.555,24.819,8.08,7.39,8.17,90.33,83.34,0.729,2.42,0.2345,1.69,0.0805,1.15,0.1982,0.14,0.0148,,,1460.3,60.5,4.1,0.00,0.000,,,,,,,,,,,
11203,Winter,OCSD,02/08/2016,07:46,1906,1,11.0,24.1,0.69,15.18,4.150,33.555,24.819,8.08,7.39,8.17,90.34,84.01,0.697,2.41,0.2341,1.73,0.0818,1.15,0.1989,0.15,0.0153,,,1500.7,51.7,3.4,0.00,0.000,,,,,,,,,,,
11204,Winter,OCSD,02/08/2016,07:46,1906,1,12.0,25.5,0.75,15.18,4.150,33.555,24.819,8.08,7.37,8.17,90.16,84.35,0.681,2.39,0.2332,1.83,0.0874,1.13,0.1972,0.19,0.0161,,,1476.9,47.6,3.2,0.00,0.001,,,,,,,,,,,
11205,Winter,OCSD,02/08/2016,07:46,1906,1,13.0,26.8,0.91,15.18,4.150,33.555,24.820,8.08,7.37,8.17,90.13,84.14,0.691,2.31,0.2259,1.76,0.0831,1.17,0.1995,0.19,0.0160,,,1465.3,41.1,2.8,0.01,0.000,,,,,,,,,,,
11206,Winter,OCSD,02/08/2016,07:46,1906,1,14.0,28.0,0.76,15.17,4.150,33.554,24.820,8.08,7.36,8.17,89.94,84.40,0.678,2.24,0.2209,1.72,0.0813,1.17,0.1990,0.19,0.0160,,,1500.0,35.1,2.3,0.01,0.002,,,,,,,,,,,
11207,Winter,OCSD,02/08/2016,07:46,1906,1,15.0,29.3,0.76,15.16,4.149,33.553,24.822,8.08,7.34,8.17,89.67,84.45,0.676,2.17,0.2155,1.76,0.0849,1.18,0.2015,0.19,0.0152,,,1469.9,30.8,2.1,0.01,0.001,,,,,,,,,,,
11208,Winter,OCSD,02/08/2016,07:46,1906,1,16.0,30.6,0.73,15.15,4.148,33.553,24.823,8.08,7.31,8.18,89.38,84.53,0.672,2.08,0.2087,1.66,0.0785,1.14,0.1970,0.24,0.0169,,,1480.0,26.8,1.8,0.00,0.001,,,,,,,,,,,
11209,Winter,OCSD,02/08/2016,07:46,1906,1,17.0,32.0,0.74,15.15,4.148,33.553,24.824,8.08,7.30,8.18,89.25,84.74,0.662,1.96,0.1999,1.61,0.0772,1.14,0.1974,0.23,0.0161,,,1502.2,24.0,1.6,0.00,0.001,,,,,,,,,,,
11210,Winter,OCSD,02/08/2016,07:46,1906,1,18.0,33.3,0.91,15.15,4.148,33.553,24.825,8.07,7.28,8.18,88.92,84.87,0.656,1.82,0.1892,1.57,0.0763,1.19,0.2012,0.25,0.0169,,,1460.2,21.6,1.5,0.01,0.001,,,,,,,,,,,
11211,Winter,OCSD,02/08/2016,07:46,1906,1,19.0,34.4,0.79,15.14,4.147,33.553,24.826,8.07,7.25,8.18,88.62,84.94,0.653,1.68,0.1778,1.47,0.0715,1.20,0.2009,0.22,0.0165,,,1486.0,19.1,1.3,0.01,0.002,,,,,,,,,,,
11212,Winter,OCSD,02/08/2016,07:46,1906,1,20.0,35.9,0.66,15.13,4.146,33.552,24.828,8.07,7.22,8.18,88.17,85.33,0.634,1.54,0.1669,1.36,0.0676,1.24,0.2036,0.17,0.0151,,,1509.3,17.1,1.1,0.01,0.002,,,,,,,,,,,
11213,Winter,OCSD,02/08/2016,07:46,1906,1,21.0,37.3,0.77,15.12,4.145,33.552,24.830,8.07,7.23,8.18,88.36,85.50,0.626,1.45,0.1605,1.27,0.0638,1.25,0.2035,0.18,0.0159,,,1464.1,15.4,1.1,0.00,0.001,,,,,,,,,,,
11214,Winter,OCSD,02/08/2016,07:46,1906,1,22.0,38.6,0.76,15.12,4.145,33.552,24.831,8.07,7.26,8.18,88.70,85.82,0.612,1.44,0.1592,1.18,0.0597,1.21,0.2004,0.19,0.0160,,,1500.3,13.6,0.9,0.01,0.001,,,,,,,,,,,
11215,Winter,OCSD,02/08/2016,07:46,1906,1,23.0,39.9,0.91,15.11,4.144,33.552,24.832,8.07,7.29,8.18,89.04,86.13,0.597,1.49,0.1638,1.16,0.0592,1.22,0.2030,0.18,0.0160,,,1491.3,11.9,0.8,0.00,0.002,,,,,,,,,,,
11216,Winter,OCSD,02/08/2016,07:46,1906,1,24.0,40.9,0.93,15.11,4.145,33.555,24.834,8.07,7.29,8.18,89.03,86.17,0.595,1.56,0.1695,1.20,0.0603,1.21,0.2005,0.17,0.0151,,,1458.0,10.6,0.7,0.00,0.000,,,,,,,,,,,
11217,Winter,OCSD,02/08/2016,07:46,1906,1,25.0,42.1,0.79,15.11,4.145,33.555,24.834,8.07,7.30,8.18,89.08,86.33,0.588,1.60,0.1727,1.31,0.0658,1.24,0.2037,0.20,0.0166,,,1480.2,9.7,0.7,0.00,0.000,,,,,,,,,,,
11218,Winter,OCSD,02/08/2016,07:46,1906,1,26.0,43.5,0.71,15.11,4.145,33.555,24.834,8.07,7.29,8.18,88.97,86.37,0.586,1.64,0.1739,1.39,0.0676,1.23,0.2017,0.18,0.0152,,,1499.4,8.9,0.6,0.00,0.001,,,,,,,,,,,
11219,Winter,OCSD,02/08/2016,07:46,1906,1,27.0,44.9,0.74,15.11,4.145,33.555,24.835,8.07,7.32,8.18,89.39,86.24,0.592,1.75,0.1842,1.52,0.0743,1.28,0.2048,0.21,0.0161,,,1471.3,8.2,0.6,0.00,0.000,,,,,,,,,,,
11220,Winter,OCSD,02/08/2016,07:46,1906,1,28.0,46.3,0.67,15.11,4.145,33.556,24.835,8.07,7.32,8.18,89.43,86.15,0.596,1.85,0.1920,1.64,0.0784,1.28,0.2056,0.24,0.0170,,,1492.7,7.4,0.5,0.00,0.001,,,,,,,,,,,
11221,Winter,OCSD,02/08/2016,07:46,1906,1,29.0,47.8,0.70,15.11,4.145,33.556,24.836,8.08,7.33,8.18,89.44,85.97,0.605,1.89,0.1942,1.77,0.0847,1.25,0.2036,0.19,0.0153,,,1488.8,6.5,0.4,0.00,0.000,,,,,,,,,,,
11222,Winter,OCSD,02/08/2016,07:46,1906,1,30.0,49.1,0.85,15.11,4.145,33.556,24.836,8.08,7.28,8.18,88.94,85.82,0.612,1.87,0.1951,1.75,0.0833,1.21,0.1999,0.19,0.0162,,,1474.8,5.7,0.4,0.00,0.002,,,,,,,,,,,
11223,Winter,OCSD,02/08/2016,07:46,1906,1,31.0,50.3,0.85,15.11,4.145,33.558,24.838,8.08,7.22,8.18,88.16,85.73,0.616,1.70,0.1814,1.66,0.0793,1.28,0.2052,0.20,0.0159,,,1481.0,5.0,0.3,0.01,0.002,,,,,,,,,,,
11224,Winter,OCSD,02/08/2016,07:46,1906,1,32.0,51.4,0.92,15.10,4.145,33.559,24.840,8.07,7.17,8.18,87.56,85.51,0.626,1.45,0.1593,1.55,0.0772,1.33,0.2076,0.21,0.0160,,,1478.2,4.5,0.3,0.00,0.000,,,,,,,,,,,
11225,Winter,OCSD,02/08/2016,07:46,1906,1,33.0,52.4,1.03,15.10,4.144,33.559,24.840,8.07,7.16,8.18,87.36,85.45,0.629,1.28,0.1451,1.31,0.0647,1.32,0.2075,0.22,0.0162,,,1477.8,4.0,0.3,0.02,0.005,,,,,,,,,,,
11226,Winter,OCSD,02/08/2016,07:46,1906,1,34.0,53.6,0.69,15.08,4.142,33.559,24.845,8.07,7.17,8.19,87.46,85.58,0.623,1.22,0.1428,1.12,0.0558,1.27,0.2040,0.25,0.0167,,,1486.5,3.6,0.2,0.00,0.001,,,,,,,,,,,
11227,Winter,OCSD,02/08/2016,07:46,1906,1,35.0,55.3,0.55,15.08,4.142,33.559,24.846,8.07,7.17,8.19,87.45,85.99,0.604,1.24,0.1442,1.16,0.0602,1.30,0.2060,0.24,0.0167,,,1496.4,3.4,0.2,0.00,0.000,,,,,,,,,,,
11228,Winter,OCSD,02/08/2016,07:46,1906,1,36.0,56.9,0.83,15.08,4.142,33.559,24.846,8.07,7.16,8.19,87.32,86.16,0.596,1.28,0.1476,1.15,0.0586,1.30,0.2061,0.16,0.0148,,,1482.9,3.1,0.2,0.01,0.000,,,,,,,,,,,
11229,Winter,OCSD,02/08/2016,07:46,1906,1,37.0,58.1,0.80,15.07,4.142,33.559,24.846,8.07,7.14,8.19,87.17,86.19,0.594,1.27,0.1487,1.16,0.0592,1.27,0.2027,0.21,0.0161,,,1486.2,2.7,0.2,0.00,0.001,,,,,,,,,,,
11230,Winter,OCSD,02/08/2016,07:46,1906,1,38.0,59.3,0.83,15.07,4.142,33.559,24.847,8.07,7.08,8.19,86.38,86.26,0.591,1.15,0.1387,1.17,0.0606,1.34,0.2080,0.28,0.0172,,,1483.8,2.4,0.2,0.02,0.002,,,,,,,,,,,
11231,Winter,OCSD,02/08/2016,07:46,1906,1,39.0,60.5,0.85,15.05,4.140,33.556,24.849,8.07,7.02,8.19,85.64,86.24,0.592,0.98,0.1237,1.07,0.0565,1.40,0.2120,0.29,0.0172,,,1470.3,2.1,0.1,0.05,0.006,,,,,,,,,,,
11232,Winter,OCSD,02/08/2016,07:46,1906,1,40.0,61.8,0.70,15.00,4.135,33.551,24.855,8.06,6.98,8.20,85.05,86.22,0.593,0.86,0.1153,0.85,0.0466,1.38,0.2085,0.25,0.0163,,,1495.1,1.9,0.1,0.01,0.001,,,,,,,,,,,
11233,Winter,OCSD,02/08/2016,07:46,1906,1,41.0,63.3,0.70,14.99,4.133,33.549,24.856,8.06,6.94,8.20,84.57,86.31,0.589,0.77,0.1089,0.72,0.0416,1.40,0.2111,0.23,0.0161,,,1488.1,1.8,0.1,0.02,0.004,,,,,,,,,,,
11234,Winter,OCSD,02/08/2016,07:46,1906,1,42.0,64.7,0.77,14.97,4.130,33.546,24.860,8.06,6.91,8.21,84.15,86.45,0.582,0.66,0.1003,0.65,0.0391,1.42,0.2116,0.27,0.0167,,,1479.4,1.7,0.1,0.03,0.004,,,,,,,,,,,
11235,Winter,OCSD,02/08/2016,07:46,1906,1,43.0,66.1,0.66,14.94,4.128,33.544,24.864,8.05,6.84,8.21,83.25,86.71,0.571,0.58,0.0943,0.56,0.0350,1.45,0.2126,0.29,0.0172,,,1509.7,1.5,0.1,0.03,0.004,,,,,,,,,,,
11236,Winter,OCSD,02/08/2016,07:46,1906,1,44.0,67.5,0.82,14.91,4.125,33.542,24.868,8.05,6.78,8.22,82.51,86.85,0.564,0.52,0.0892,0.51,0.0341,1.48,0.2147,0.27,0.0160,,,1478.9,1.4,0.1,0.03,0.006,,,,,,,,,,,
11237,Winter,OCSD,02/08/2016,07:46,1906,1,45.0,68.6,0.95,14.88,4.122,33.540,24.874,8.05,6.76,8.22,82.14,86.94,0.560,0.47,0.0862,0.43,0.0300,1.49,0.2157,0.31,0.0165,,,1480.2,1.2,0.1,0.02,0.005,,,,,,,,,,,
11238,Winter,OCSD,02/08/2016,07:46,1906,1,46.0,69.8,0.80,14.86,4.120,33.539,24.879,8.04,6.73,8.23,81.71,87.16,0.550,0.44,0.0831,0.36,0.0271,1.45,0.2130,0.40,0.0186,,,1498.9,1.1,0.1,0.02,0.002,,,,,,,,,,,
11239,Winter,OCSD,02/08/2016,07:46,1906,1,47.0,71.1,0.74,14.84,4.118,33.538,24.881,8.04,6.68,8.23,81.12,87.31,0.543,0.42,0.0821,0.31,0.0251,1.51,0.2156,0.42,0.0185,,,1475.6,1.0,0.1,0.03,0.005,,,,,,,,,,,
11240,Winter,OCSD,02/08/2016,07:46,1906,1,48.0,72.4,0.70,14.81,4.115,33.538,24.886,8.04,6.66,8.23,80.87,87.40,0.539,0.40,0.0801,0.28,0.0240,1.53,0.2170,0.37,0.0178,,,1481.4,0.9,0.1,0.04,0.009,,,,,,,,,,,
11241,Winter,OCSD,02/08/2016,07:46,1906,1,49.0,74.1,0.57,14.77,4.111,33.537,24.895,8.04,6.66,8.24,80.81,87.49,0.535,0.37,0.0785,0.25,0.0230,1.52,0.2171,0.32,0.0166,,,1499.4,0.9,0.1,0.02,0.004,,,,,,,,,,,
11242,Winter,OCSD,02/08/2016,07:46,1906,1,50.0,75.7,0.76,14.75,4.110,33.537,24.899,8.03,6.64,8.24,80.53,87.54,0.532,0.36,0.0771,0.24,0.0230,1.48,0.2121,0.39,0.0180,,,1483.5,0.8,0.1,0.00,0.002,,,,,,,,,,,
11243,Winter,OCSD,02/08/2016,07:46,1906,1,51.0,76.9,0.84,14.75,4.109,33.537,24.901,8.03,6.58,8.24,79.80,87.56,0.532,0.35,0.0762,0.22,0.0216,1.54,0.2193,0.44,0.0187,,,1504.1,0.7,0.0,0.01,0.003,,,,,,,,,,,
11244,Winter,OCSD,02/08/2016,07:46,1906,1,52.0,78.0,0.96,14.74,4.108,33.538,24.904,8.03,6.56,8.25,79.50,87.62,0.529,0.34,0.0764,0.21,0.0217,1.53,0.2159,0.44,0.0188,,,1495.0,0.7,0.0,0.02,0.004,,,,,,,,,,,
11245,Winter,OCSD,02/08/2016,07:46,1906,1,53.0,79.1,0.89,14.72,4.107,33.540,24.908,8.03,6.54,8.25,79.26,87.61,0.529,0.33,0.0752,0.19,0.0205,1.56,0.2195,0.39,0.0175,,,1474.7,0.6,0.0,0.03,0.007,,,,,,,,,,,
11246,Winter,OCSD,02/08/2016,07:46,1906,1,54.0,80.4,0.68,14.69,4.104,33.538,24.915,8.03,6.49,8.25,78.59,87.65,0.527,0.33,0.0751,0.18,0.0205,1.56,0.2183,0.39,0.0175,,,1498.4,0.6,0.0,0.03,0.003,,,,,,,,,,,
11247,Winter,OCSD,02/08/2016,07:46,1906,1,55.0,81.9,0.77,14.66,4.101,33.537,24.918,8.03,6.40,8.26,77.43,87.64,0.528,0.32,0.0741,0.17,0.0195,1.59,0.2193,0.45,0.0187,,,1494.2,0.5,0.0,0.09,0.019,,,,,,,,,,,
11248,Winter,OCSD,02/08/2016,07:46,1906,1,56.0,83.2,0.75,14.57,4.092,33.535,24.937,8.02,6.33,8.27,76.41,87.67,0.526,0.31,0.0735,0.15,0.0188,1.71,0.2253,0.48,0.0186,,,1481.9,0.5,0.0,0.13,0.022,,,,,,,,,,,
11249,Winter,OCSD,02/08/2016,07:46,1906,1,57.0,84.5,0.79,14.44,4.080,33.529,24.959,8.01,6.27,8.29,75.54,87.67,0.526,0.30,0.0724,0.16,0.0197,1.83,0.2331,0.53,0.0194,,,1495.1,0.4,0.0,0.09,0.017,,,,,,,,,,,
11250,Winter,OCSD,02/08/2016,07:46,1906,1,58.0,85.9,0.68,14.35,4.071,33.525,24.976,8.00,6.21,8.31,74.68,87.69,0.525,0.28,0.0717,0.15,0.0189,1.83,0.2309,0.54,0.0196,,,1482.9,0.4,0.0,0.11,0.019,,,,,,,,,,,
11251,Winter,OCSD,02/08/2016,07:46,1906,1,59.0,87.4,0.64,14.24,4.060,33.520,24.995,8.00,6.16,8.33,73.93,87.78,0.521,0.26,0.0701,0.13,0.0182,1.86,0.2329,0.51,0.0187,,,1498.3,0.4,0.0,0.06,0.010,,,,,,,,,,,
11252,Winter,OCSD,02/08/2016,07:46,1906,1,60.0,88.8,0.85,14.18,4.054,33.517,25.005,7.99,6.15,8.34,73.65,87.84,0.519,0.26,0.0697,0.11,0.0171,1.82,0.2308,0.51,0.0193,,,1502.6,0.3,0.0,0.03,0.004,,,,,,,,,,,
11253,Winter,OCSD,02/08/2016,07:46,1906,1,61.0,90.0,0.79,14.15,4.051,33.514,25.009,7.99,6.14,8.35,73.52,87.87,0.517,0.26,0.0698,0.10,0.0171,1.85,0.2322,0.50,0.0189,,,1480.0,0.3,0.0,0.01,0.002,,,,,,,,,,,
11254,Winter,OCSD,02/08/2016,07:46,1906,1,62.0,91.3,0.74,14.14,4.050,33.513,25.011,7.99,6.07,8.35,72.62,87.90,0.516,0.26,0.0698,0.10,0.0171,1.83,0.2314,0.50,0.0186,,,1497.3,0.3,0.0,0.02,0.002,,,,,,,,,,,
11255,Winter,OCSD,02/08/2016,07:46,1906,1,63.0,92.7,0.74,14.12,4.048,33.511,25.013,7.98,5.92,8.35,70.82,87.95,0.513,0.25,0.0690,0.10,0.0171,1.82,0.2307,0.51,0.0193,,,1499.2,0.2,0.0,0.08,0.008,,,,,,,,,,,
11256,Winter,OCSD,02/08/2016,07:46,1906,1,64.0,93.9,0.92,14.04,4.039,33.499,25.021,7.98,5.77,8.37,68.91,87.97,0.513,0.22,0.0669,0.09,0.0170,1.83,0.2306,0.50,0.0187,,,1478.3,0.2,0.0,0.23,0.035,,,,,,,,,,,
11257,Winter,OCSD,02/08/2016,07:46,1906,1,65.0,95.0,0.88,13.81,4.015,33.482,25.056,7.97,5.67,8.41,67.47,87.98,0.512,0.20,0.0658,0.07,0.0158,1.90,0.2361,0.52,0.0192,,,1491.8,0.2,0.0,0.15,0.028,,,,,,,,,,,
11258,Winter,OCSD,02/08/2016,07:46,1906,1,66.0,96.4,0.65,13.66,4.002,33.481,25.084,7.96,5.54,8.43,65.64,88.03,0.510,0.18,0.0637,0.04,0.0147,1.92,0.2353,0.53,0.0191,,,1501.7,0.2,0.0,0.13,0.025,,,,,,,,,,,
11259,Winter,OCSD,02/08/2016,07:46,1906,1,67.0,97.9,0.79,13.53,3.989,33.478,25.109,7.95,5.42,8.45,64.09,88.13,0.505,0.17,0.0626,0.02,0.0138,1.99,0.2398,0.55,0.0196,,,1484.2,0.2,0.0,0.12,0.027,,,,,,,,,,,
11260,Winter,OCSD,02/08/2016,07:46,1906,1,68.0,99.2,0.71,13.41,3.978,33.480,25.136,7.94,5.35,8.48,63.13,88.21,0.502,0.16,0.0621,0.01,0.0134,2.01,0.2400,0.57,0.0197,,,1497.7,0.1,0.0,0.10,0.022,,,,,,,,,,,
11261,Winter,OCSD,02/08/2016,07:46,1906,1,69.0,100.7,0.67,13.31,3.969,33.483,25.158,7.92,5.28,8.49,62.10,88.38,0.494,0.16,0.0622,0.01,0.0134,1.99,0.2381,0.59,0.0197,,,1497.1,0.1,0.0,0.11,0.026,,,,,,,,,,,
11262,Winter,OCSD,02/08/2016,07:46,1906,1,70.0,102.1,0.79,13.20,3.959,33.487,25.184,7.92,5.21,8.51,61.12,88.43,0.492,0.16,0.0621,0.01,0.0134,2.07,0.2438,0.61,0.0197,,,1480.5,0.1,0.0,0.06,0.013,,,,,,,,,,,
11263,Winter,OCSD,02/08/2016,07:46,1906,1,71.0,103.3,0.79,13.14,3.953,33.488,25.197,7.91,5.18,8.52,60.74,88.47,0.490,0.16,0.0621,0.01,0.0134,2.10,0.2448,0.65,0.0211,,,1504.2,0.1,0.0,0.06,0.013,,,,,,,,,,,
11264,Winter,OCSD,02/08/2016,07:46,1906,1,72.0,104.6,0.82,13.08,3.948,33.490,25.210,7.90,5.18,8.53,60.68,88.47,0.490,0.15,0.0613,0.01,0.0134,2.10,0.2444,0.67,0.0200,,,1501.9,0.1,0.0,0.11,0.018,,,,,,,,,,,
11265,Winter,OCSD,02/08/2016,07:46,1906,1,73.0,105.7,0.89,12.97,3.938,33.486,25.228,7.90,5.19,8.55,60.60,88.44,0.492,0.15,0.0615,0.01,0.0134,2.10,0.2453,0.71,0.0220,,,1478.2,0.1,0.0,0.08,0.013,,,,,,,,,,,
11266,Winter,OCSD,02/08/2016,07:46,1906,1,74.0,107.0,0.68,12.89,3.930,33.482,25.241,7.90,5.17,8.57,60.34,88.45,0.491,0.14,0.0611,0.01,0.0134,2.04,0.2406,0.65,0.0205,,,1509.9,0.1,0.0,0.06,0.010,,,,,,,,,,,
11267,Winter,OCSD,02/08/2016,07:46,1906,1,75.0,108.5,0.68,12.83,3.924,33.479,25.251,7.89,5.10,8.58,59.47,88.45,0.491,0.13,0.0601,0.01,0.0134,2.05,0.2420,0.57,0.0190,,,1493.0,0.1,0.0,0.11,0.018,,,,,,,,,,,
11268,Winter,OCSD,02/08/2016,07:46,1906,1,76.0,110.0,0.70,12.72,3.913,33.475,25.269,7.89,5.05,8.60,58.71,88.45,0.491,0.13,0.0598,-0.01,0.0125,2.09,0.2447,0.59,0.0196,,,1489.6,0.0,0.0,0.22,0.044,,,,,,,,,,,
